id,estado,titulo_pregunta,familia,fuente,corte,figura_svg,uso_editorial,advertencia
01,nucleo,Como evolucionaron participacion ocupacion desocupacion e informalidad,Tendencia en pequenos multiplos,BCRD ENCFT,2026 T1 preliminar,figuras/01_panorama_indicadores_encft.svg,Apertura y contexto general,Escalas verticales independientes claramente indicadas
02,nucleo,Como evoluciono la brecha laboral entre hombres y mujeres,Tendencia comparada,BCRD ENCFT,2026 T1 preliminar,figuras/02_brecha_genero_participacion_ocupacion.svg,Brecha de genero,Misma escala para ambos paneles
03,nucleo,En cuales ramas se concentra el empleo femenino,Ranking de barras,BCRD ENCFT,2026 T1 preliminar,figuras/03_participacion_mujeres_por_rama.svg,Segregacion sectorial,Participacion dentro de cada rama
04,nucleo,En cuales ramas pesa mas la informalidad,Ranking de barras con referencia,BCRD ENCFT,2026 T1 preliminar,figuras/04_informalidad_por_rama.svg,Calidad del empleo,Ramas excluyen servicio domestico; referencia nacional lo incluye
05,nucleo,Cuanto trabajo no utilizado oculta la tasa abierta,Dumbbell,BCRD ENCFT,2025,figuras/05_subutilizacion_por_macroregion.svg,Dimension territorial,SU4 incluye subocupacion y fuerza de trabajo potencial
06,nucleo,Como crecio el empleo formal registrado,Tendencia mensual,TSS,abril de 2026,figuras/06_empleos_cotizantes_tss.svg,Formalizacion y escala,Mide cotizantes no toda la ocupacion
07,nucleo,Como cambia la calificacion ocupacional con educacion y sexo,Composicion 100 por ciento,ONE Censo 2022,2022,figuras/07_calificacion_ocupacional_educacion_sexo.svg,Educacion y calidad ocupacional,Condicionado a ocupacion clasificada en CNO 2019
08,nucleo,Cuales ocupaciones dominan entre jovenes con educacion superior,Ranking facetado,ONE Censo 2022,2022,figuras/08_top_ocupaciones_superior_25_34.svg,Desajuste educativo,Seis primeras por sexo entre casos clasificados
09,opcional,Como difieren los campos de estudio por sexo,Dumbbell,ONE Censo 2022,2022,figuras/09_campos_estudio_por_sexo_opcional.svg,Apendice educativo,Porcentaje sobre todos los campos validos no normalizado al top
10,nucleo,Cuanto se parecen las parejas en educacion y trabajo,Composicion horizontal al 100 por ciento,ONE Censo 2022,2022,figuras/10_similitud_parejas.svg,Relaciones de pareja y emparejamiento,Universo restringido a parejas jefatura-conyuge con edades plausibles; cobertura varia por indicador
11,nucleo,En que caracteristicas se parecen las parejas mas de lo esperado por azar,Dumbbell observado frente a esperado,ONE Censo 2022,2022,figuras/11_homogamia_ajustada.svg,Homogamia ajustada por distribuciones marginales,Kappa mide asociacion no causalidad; la figura principal excluye senales menores a 0.10 practicas susceptibles a convivencia y proxies redundantes; subuniversos senalados
12,nucleo,Persiste la similitud de las parejas dentro de perfiles comparables,Rango de sensibilidad y replica temporal,ONE Censos 2010 y 2022; ENHOGAR 2024,2010-2024,figuras/12_homogamia_condicionada.svg,Homogamia condicionada y validacion externa,Asociacion no causal; ENHOGAR usa ponderacion e intervalos Rao-Wu; campo de estudio y categoria ocupacional son subuniversos
13,nucleo,Se replica la homogamia educativa en una encuesta ponderada,Comparacion de puntos ajustados,ONE Censo 2010 y 2022; ENHOGAR 2022,2010-2022,figuras/13_homogamia_educativa_enhogar_2022.svg,Validacion externa del resultado educativo,ENHOGAR 2022 es muestra ponderada; el logit es descriptivo y no causal
14,nucleo,Se mantiene la asociación educativa en una ronda más reciente,Comparacion de puntos ajustados,ONE Censo 2010 y 2022; ENHOGAR 2024,2010-2024,figuras/14_homogamia_educativa_enhogar_2024.svg,Validacion externa reciente del resultado educativo,ENHOGAR 2024 es muestra ponderada; no es una observacion censal ni un efecto causal
